,,Fake News,Official Communication
exclamation_marks,75%,0.0,0.0
exclamation_marks,max,15.0,14.0
question_marks,count,12742.0,15864.0
question_marks,mean,0.20287239051954167,0.19843671205244579
question_marks,std,0.7797459065073281,0.8261670096205387
question_marks,min,0.0,0.0
question_marks,25%,0.0,0.0
question_marks,50%,0.0,0.0
question_marks,75%,0.0,0.0
question_marks,max,17.0,34.0
digits,count,12742.0,15864.0
digits,mean,4.707110343745095,4.628719112455875
digits,std,6.801298923266599,6.705422451912495
digits,min,0.0,0.0
digits,25%,2.0,2.0
digits,50%,3.0,3.0
digits,75%,6.0,6.0
digits,max,117.0,103.0
hashtags,count,12742.0,15864.0
hashtags,mean,0.9516559409825773,0.9766767523953606
hashtags,std,1.146864702944579,1.157664023998145
hashtags,min,0.0,0.0
hashtags,25%,0.0,0.0
hashtags,50%,1.0,1.0
hashtags,75%,2.0,2.0
hashtags,max,16.0,16.0
lexical_diversity,count,12743.0,15866.0
lexical_diversity,mean,0.892210182030863,0.9005573646600331
lexical_diversity,std,0.08316075342529834,0.07306610637078151
lexical_diversity,min,0.4883720930232558,0.4857142857142857
lexical_diversity,25%,0.8387096774193549,0.8536585365853658
lexical_diversity,50%,0.8974358974358975,0.9047619047619048
lexical_diversity,75%,0.9545454545454546,0.9545454545454546
lexical_diversity,max,1.0,1.0
average_word_length,count,12743.0,15866.0
average_word_length,mean,4.995273034171386,5.211313217336441
average_word_length,std,0.7744674176082447,0.8123959147542723
average_word_length,min,2.888888888888889,3.111111111111111
average_word_length,25%,4.479166666666667,4.6875
average_word_length,50%,4.857142857142857,5.114285714285714
average_word_length,75%,5.34375,5.615384615384615
average_word_length,max,14.636363636363637,29.0
superlatives,count,12743.0,15866.0
superlatives,mean,0.06152397394648042,0.1421908483549729
superlatives,std,0.2576357382673269,0.38546041543795206
superlatives,min,0.0,0.0
superlatives,25%,0.0,0.0
superlatives,50%,0.0,0.0
superlatives,75%,0.0,0.0
superlatives,max,3.0,4.0
valence_lexical,count,12652.0,15781.0
valence_lexical,mean,5.37479155897897,5.772463303948188
valence_lexical,std,0.6775338834596777,0.531032249497816
valence_lexical,min,1.48,1.67
valence_lexical,25%,5.003937499999999,5.482222222222223
valence_lexical,50%,5.419545454545455,5.821666666666666
valence_lexical,75%,5.803664772727273,6.088571428571428
valence_lexical,max,8.25,7.95
arousal_lexical,count,12652.0,15781.0
arousal_lexical,mean,4.256726151075288,4.013188765923068
arousal_lexical,std,0.45529958925795244,0.3669973801543056
arousal_lexical,min,2.4850000000000003,2.43
arousal_lexical,25%,3.958429487179487,3.7615384615384615
arousal_lexical,50%,4.22,3.98
arousal_lexical,75%,4.5,4.221666666666667
arousal_lexical,max,7.6,6.9
dominance_lexical,count,12652.0,15781.0
dominance_lexical,mean,5.326937122738517,5.659182613770014
dominance_lexical,std,0.4706157622103374,0.39608051256058063
dominance_lexical,min,2.43,3.06
dominance_lexical,25%,5.07,5.444999999999999
dominance_lexical,50%,5.363205128205129,5.69375
dominance_lexical,75%,5.62,5.914285714285716
dominance_lexical,max,7.26,7.074999999999999
concreteness_lexical,count,12737.0,15815.0
concreteness_lexical,mean,2.5336629859515085,2.5100237029919943
concreteness_lexical,std,0.2921832901460557,0.27443160464044136
concreteness_lexical,min,1.43,1.38
concreteness_lexical,25%,2.349117647058823,2.335138996138996
concreteness_lexical,50%,2.496744186046512,2.4872
concreteness_lexical,75%,2.6626315789473685,2.64925
concreteness_lexical,max,5.0,4.96
